"storm_event_id","storm_date","storm_name","storm_issues","DateTime"
"SW0390",2015-01-18 06:00:00,"Winter Storm Event","Freezing Precipitation",1421578800
"SW0391",2015-01-24,"Light Snow, High Wind Event","High Winds",1422075600
"SW0392",2015-01-26 08:00:00,"January 2015 North American Blizzard ""Winter Storm Juno""","High Winds, Heavy Snow",1422277200
"SW0393",2015-01-30 18:00:00,"High Wind Event","High Winds",1422658800
"SW0394",2015-02-01 21:00:00,"Winter Storm Event","Heavy Snow",1422842400
"SW0395",2015-02-02,"Winter Storm Event","Heavy Snow",1422853200
"SW0396",2015-02-13 00:51:00,"Light Snow, High Wind Event","High Winds",1423806660
"SW0398",2015-02-21,"Light Snow, Ice Event","Freezing Precipitation",1424494800
"SW0399",2015-03-01,"Winter Storm Event","Heavy Snow",1425186000
"SW0400",2015-03-05,"Winter Storm Event","Heavy Snow",1425531600
"SW0402",2015-04-02,"High Wind Event","High Winds, Flash Flooding",1427947200
"SW0404",2015-05-31,"Heavy Rain, Flash Flood Event","Flash Flooding",1433044800
"SW0405",2015-06-23,"Heavy Rain Event","Flash Flooding",1435032000
"SW0406",2015-06-28,"Heavy Rain Event","Flash Flooding",1435464000
"SW0407",2015-07-01,"Heavy Rain, Flash Flood Event","Flash Flooding, High Winds",1435723200
"SW0408",2015-08-04,"High Wind Event","High Winds, Flash Flooding",1438660800
"SW0410",2015-08-21 02:00:00,"Heavy Rain Event","Flash Flooding",1440136800
"SW0414",2016-01-09,"High Wind, Coastal Flood Event","Coastal Flooding, High Winds",1452315600
"SW0415",2016-01-22 02:00:00,"January 2016 Blizzard ""Winter Storm Jonas""","High Winds, Heavy Snow, Coastal Flooding",1453446000
"SW0416",2016-02-08 06:00:00,"February 2016 Snow Event ""Winter Storm Mars""","Coastal Flooding",1454929200
"SW0417",2016-02-16 10:57:00,"High Wind Event","High Winds",1455638220
"SW0418",2016-02-24 18:00:00,"High Wind Event","High Winds",1456354800
"SW0419",2016-03-28 16:00:00,"High Wind Event","High Winds",1459195200
"SW0420",2016-04-02 06:02:00,"High Wind Event","High Winds",1459591320
"SW0421",2016-06-05 14:00:00,"Heavy Rain, High Wind Event","Flash Flooding",1465149600
"SW0422",2016-07-14 13:00:00,"High Wind Event, Extreme Heat Event","Extreme Heat, High Winds",1468515600
"SW0424",2016-07-21 16:57:00,"Heavy Rain, High Wind Event, Extreme Heat Event","High Winds, Extreme Heat, Flash Flooding",1469134620
"SW0426",2016-11-20 02:54:00,"High Wind Event","High Winds",1479628440
"SW0428",2016-12-15 10:51:00,"High Wind, Extreme Cold Event","High Winds, Extreme Cold",1481817060
"SW0429",2017-01-07 11:00:00,"Winter Storm Event ""Winter Storm Helena""","Heavy Snow",1483804800
"SW0430",2017-02-09 07:00:00,"Winter Storm Event ""Winter Storm Niko""","Heavy Snow, High Winds",1486641600
"SW0431",2017-03-14 02:00:00,"March 2017 Nor'easter ""Winter Storm Stella""","High Winds, Heavy Snow, Coastal Flooding",1489471200
"SW0432",2017-05-05 09:00:00,"Heavy Rain Event","Flash Flooding",1493989200
"SW0540",2017-06-19 15:53:00,"Flash/Inland Flooding, Heavy Rain Event","Flash Flooding",1497901980
"SW0542",2017-08-02 16:37:00,"Flash/Inland Flooding Event","Flash Flooding",1501706220
"SW0544",2017-10-29 18:00:00,"Heavy Rain Event","Coastal Flooding, Flash Flooding",1509314400
"SW0545",2017-11-10 07:00:00,"High Wind Event","High Winds",1510315200
"SW0546",2017-11-19 10:00:00,"High Wind Event","High Winds",1511103600
"SW0547",2017-12-09 09:00:00,"Heavy Snow Event ""Winter Storm Benji""","Heavy Snow",1512828000
"SW0548",2017-12-25 07:00:00,"High Wind Event","High Winds",1514203200
"SW0526",2018-01-04 03:00:00,"January 4 Blizzard ""Winter Storm Grayson""","High Winds, Heavy Snow, Coastal Flooding",1515052800
"SW0527",2018-01-30 06:30:00,"Flooding Event","Coastal Flooding, Flash Flooding",1517311800
"SW0528",2018-02-07 08:00:00,"Freezing Rain Event","Freezing Precipitation",1518008400
"SW0529",2018-02-17 17:00:00,"Heavy Snow Event","Heavy Snow",1518904800
"SW0530",2018-03-02 07:00:00,"March 2-5 Nor'Easter ""Winter Storm Riley""","High Winds, Coastal Flooding",1519992000
"SW0531",2018-03-07 02:00:00,"March 7-8 Nor'Easter ""Winter Storm Quinn""","Coastal Flooding, High Winds",1520406000
"SW0532",2018-03-13,"March 13-15 Nor'Easter "" Winter Storm Skylar""","High Winds",1520913600
"SW0533",2018-03-21 05:00:00,"March 20-22 Nor'Easter ""Winter Storm Toby""","High Winds, Heavy Snow",1521622800
"SW0534",2018-04-02 05:00:00,"Winter Storm Event","Heavy Snow",1522659600
"SW0535",2018-04-04 17:00:00,"High Wind Event","High Winds",1522875600
"SW0536",2018-04-16 06:23:00,"Flash/Inland Flooding, Heavy Rain, High Wind Event","High Winds, Coastal Flooding, Flash Flooding",1523874180
"SW0537",2018-05-15 16:20:00,"Tornado Event","High Winds, Tornado",1526415600
"SW0538",2018-06-28 17:38:00,"Flash Flood Event","Flash Flooding",1530221880
"SW0651",2018-07-27 16:39:00,"Heavy Rain, Flash/Inland Flooding Event","Flash Flooding",1532723940
"SW0653",2018-10-27,"Nor'Easter","High Winds, Coastal Flooding",1540612800
"SW0759",2019-03-04,"Heavy Snow Event","Heavy Snow",1551675600
"SW0760",2018-11-15,"Winter Storm Avery","Heavy Snow, High Winds, Coastal Flooding",1542258000
"SW0761",2016-01-02 03:59:00,"Heavy Rain Event","Flash Flooding",1451725140
"SW0764",2016-06-01 10:30:00,"Heavy Rain Event","Flash Flooding",1464791400
"SW0765",2016-06-24 23:59:00,"Heavy Rain Event","Flash Flooding",1466827140
"SW0766",2016-06-08 12:59:00,"Heavy Rain Event","Flash Flooding",1465405140
"SW0767",2016-07-22 11:52:00,"Heavy Rain Event","Flash Flooding",1469202720
"SW0768",2016-08-20 15:51:00,"Heavy Rain Event","Flash Flooding",1471722660
"SW0769",2015-01-23 18:54:00,"Heavy Rain Event","Flash Flooding",1422057240
"SW0770",2015-02-28 12:59:00,"Heavy Rain Event","Flash Flooding",1425146340
"SW0771",2015-03-02 14:55:00,"Heavy Rain Event","Flash Flooding",1425326100
"SW0772",2015-03-04 18:57:00,"Heavy Rain Event","Heavy Snow",1425513420
"SW0773",2015-04-04 20:29:00,"Heavy Rain Event","Flash Flooding",1428193740
"SW0774",2015-05-30 18:45:00,"Heavy Rain Event","Flash Flooding",1433025900
"SW0775",2015-08-04 10:45:00,"Heavy Rain Event","Flash Flooding",1438699500
"SW0776",2015-08-21 05:51:00,"Heavy Rain Event","Flash Flooding",1440150660
"SW0810",2016-01-13 00:47:00,"High Wind Event","High Winds",1452664020
"SW0811",2016-01-20 03:51:00,"High Wind Event","High Winds",1453279860
"SW0814",2016-10-23 13:54:00,"High Wind Event","High Winds",1477245240
"SW0815",2016-11-20 14:54:00,"High Wind Event","High Winds",1479671640
"SW0838",2016-02-13 10:54:00,"High Wind Event","High Winds",1455378840
"SW0844",2016-03-02 07:54:00,"High Wind Event","High Winds",1456923240
"SW0850",2016-04-07 12:59:00,"High Wind Event","High Winds",1460048340
"SW0853",2016-06-12 11:54:00,"High Wind Event","High Winds",1465746840
"SW0946",2017-01-23 14:30:00,"Heavy Rain Event","Coastal Flooding, Flash Flooding, High Winds",1485199800
"SW0947",2017-03-01 19:30:00,"Heavy Rain Event","High Winds, Flash Flooding",1488414600
"SW0948",2017-03-19 16:25:00,"Heavy Snow Event","Heavy Snow",1489955100
"SW0949",2017-03-23 14:25:00,"Heavy Rain Event","Flash Flooding",1490293500
"SW0950",2017-03-30 13:25:00,"Heavy Rain Event","Flash Flooding, Coastal Flooding",1490894700
"SW0951",2017-04-02 14:25:00,"Heavy Rain Event","Flash Flooding",1491157500
"SW0953",2017-04-08 14:25:00,"Heavy Rain Event","Flash Flooding",1491675900
"SW0954",2017-04-11 15:25:00,"Heavy Rain Event","Flash Flooding",1491938700
"SW0955",2017-04-18 14:25:00,"Heavy Rain Event","Flash Flooding",1492539900
"SW0959",2017-04-29 05:58:00,"Heavy Rain Event","Flash Flooding",1493459880
"SW0961",2017-05-08 15:25:00,"Heavy Rain Event","Flash Flooding",1494271500
"SW0962",2017-06-24 06:54:00,"Heavy Rain Event","Flash Flooding",1498301640
"SW0963",2017-07-07 10:54:00,"Heavy Rain Event","Flash Flooding",1499439240
"SW0964",2017-07-11 12:30:00,"Heavy Rain Event","Flash Flooding",1499790600
"SW0967",2018-06-01 08:51:00,"Heavy Rain Event","Flash Flooding",1527857460
"SW0968",2017-03-22 10:55:00,"High Wind Event","High Winds",1490194500
"SW0969",2018-01-30 19:54:00,"High Wind Event","High Winds, Coastal Flooding",1517360040
"SW0970",2018-02-02 10:54:00,"High Wind Event","High Winds",1517586840
"SW0971",2017-01-26 15:54:00,"High Wind Event","High Winds",1485464040
"SW0973",2017-03-09 09:54:00,"High Wind Event","High Winds",1489071240
"SW0974",2017-10-03 22:42:00,"High Wind Event","High Winds",1507084920
"SW1734",2019-01-21,"Extreme Cold Event","Coastal Flooding, High Winds, Extreme Cold",1548046800
"SW1735",2019-01-31,"Extreme Cold Event","Extreme Cold, High Winds",1548910800
"SW1736",2018-07-17 13:45:00,"Flash/Inland Flooding, Funnel Cloud Event","Flash Flooding",1531849500
"SW1737",2018-08-04 10:30:00,"Flash/Inland Flooding Event","Flash Flooding",1533393000
"SW1738",2018-08-07,"Lightning, Flash/Inland Flooding Event","Flash Flooding",1533614400
"SW1739",2018-08-11 07:28:00,"Flash/Inland Flooding Event","Flash Flooding",1533986880
"SW1741",2018-09-25 12:22:00,"Flash/Inland Flooding Event","Flash Flooding",1537892520
"SW1742",2018-09-28 05:05:00,"Flash/Inland Flooding Event","Flash Flooding",1538125500
"SW1743",2018-12-21 03:00:00,"High Winds, Flash/Inland Flooding Event","High Winds",1545379200
"SW1744",2019-01-10 10:00:00,"High Winds Event","High Winds",1547132400
"SW1745",2019-01-20 07:00:00,"Coastal Flooding, High Winds Event","High Winds, Coastal Flooding",1547985600
"SW1746",2019-01-24 10:00:00,"High Winds Event","High Winds",1548342000
"SW1747",2019-01-30 14:00:00,"January 2019 Squall","High Winds",1548874800
"SW1748",2019-02-25,"High Winds Event","High Winds",1551070800
"SW1749",2019-04-15,"High Winds Event","High Winds",1555300800
"SW1750",2019-05-26 16:30:00,"High Winds Event","High Winds",1558902600
"SW1752",2019-05-29 06:31:00,"Flash/Inland Flooding Event","Flash Flooding",1559125860
"SW1753",2019-06-02 16:55:00,"Hail Event","Large Hail, High Winds",1559508900
"SW1754",2019-06-29 04:10:00,"High Winds Event","High Winds",1561795800
"SW1755",2019-07-17 06:40:00,"High Winds, Flash/Inland Flooding Event","High Winds, Flash Flooding",1563360000
"SW1757",2019-07-22 18:33:00,"Flash/Inland Flooding Event","Flash Flooding",1563834780
"SW1758",2019-07-30 19:00:00,"Rip Current Event","Flash Flooding",1564527600
"SW1759",2019-07-31,"High Winds, Flash/Inland Flooding Event","Flash Flooding",1564545600
"SW1760",2019-08-07 16:20:00,"Lightning, High Winds, Flash/Inland Flooding Event","Flash Flooding, High Winds",1565209200
"SW1761",2019-08-21 04:50:00,"High Winds Event","High Winds",1566377400
"SW1762",2019-09-02 13:46:00,"High Winds Event","High Winds",1567446360
"SW1763",2019-09-04 15:10:00,"High Winds Event","High Winds",1567624200
"SW1764",2019-10-01 15:00:00,"High Winds Event","High Winds, Air Quality",1569956400
"SW1765",2019-10-16,"Nor'Easter","High Winds, Coastal Flooding",1571198400
"SW1766",2019-10-27 07:00:00,"High Winds Event","Coastal Flooding, High Winds",1572174000
"SW1767",2019-11-01,"High Winds Event","High Winds",1572580800
"SW1768",2018-10-22 09:00:00,"Office of the Mayor Power Outage","Flash Flooding",1540213200
"SW1976",2016-11-29,"Heavy Rain Event","Flash Flooding",1480395600
"SW2574",2018-12-20,"Flash Flood Event","Flash Flooding",1545282000
"SW2585",2019-12-18 16:00:00,"December 2019 Squall","High Winds",1576702800
"SW2586",2020-01-08 14:00:00,"High Wind event","High Winds",1578510000
"SW2587",2020-01-16 12:00:00,"High Wind event","High Winds",1579194000
"SW2588",2020-01-25 12:00:00,"High Wind event","High Winds",1579971600
"SW2589",2020-02-07 12:00:00,"High Wind event","High Winds",1581094800
"SW2590",2020-02-27 10:00:00,"High Wind event","High Winds",1582815600
"SW2591",2020-04-09 12:54:00,"High Wind event","High Winds, Coastal Flooding",1586451240
"SW2592",2020-04-13 09:00:00,"High Wind event","Coastal Flooding, High Winds",1586782800
"SW2593",2020-04-21 13:35:00,"High Wind event","High Winds",1587490500
"SW2594",2020-04-30 12:00:00,"High Wind event","High Winds",1588262400
"SW2629",2020-12-16,"Winter Storm Gail","High Winds, Heavy Snow, Coastal Flooding",1608094800
"SW2630",2021-01-31,"Winter Storm Orlena ","Heavy Snow",1612069200
"SW2632",2021-02-18,"Winter Storm Viola","Heavy Snow",1613624400
"SW2684",2018-12-13,"Flash/Inland Flooding Event","Flash Flooding",1544677200
"SW2685",2021-06-04 16:00:00,"Heavy Rain, Flash/Inland Flooding Event","Flash Flooding",1622836800
"SW2923",2020-06-29 17:25:00,"High Wind, Hail Event","High Winds, Large Hail",1593465900
"SW2924",2020-07-22 18:14:00,"High Wind Event","High Winds",1595456040
"SW2925",2020-11-02 12:00:00,"High Wind Event","High Winds",1604336400
"SW2926",2020-11-15 20:35:00,"High Wind Event","High Winds",1605490500
"SW2927",2020-11-30 12:00:00,"High Wind Event","High Winds",1606755600
"SW2928",2020-12-25,"High Wind Event","High Winds",1608872400
"SW2929",2021-01-29 05:00:00,"High Wind Event","High Winds",1611914400
"SW2930",2021-03-01 11:30:00,"High Wind Event","High Winds",1614616200
"SW2931",2021-03-13 01:00:00,"High Wind Event","High Winds",1615615200
"SW2934",2021-04-30 15:00:00,"High Wind Event","High Winds",1619809200
"SW2626",2020-08-03 20:00:00,"Tropical Storm Isaias","Flash Flooding, High Winds",1596499200
"SW2621",2020-07-10 20:00:00,"Tropical Storm Fay","High Winds",1594425600
"SW2936",2021-06-30 21:00:00,"High Wind Event","High Winds",1625101200
"SW2937",2021-08-21,"Hurricane Henri","Flash Flooding",1629518400
"SW2938",2021-09-01,"Hurricane Ida","Flash Flooding, High Winds",1630468800
"SW2939",2021-07-09,"Tropical Storm Elsa","High Winds, Flash Flooding",1625803200
"SW2943",2021-09-23,"Flash Flood Event","Flash Flooding",1632369600
"SW2944",2021-10-25 17:17:00,"Flash Flood Event","Flash Flooding",1635196620
"SW2950",2022-06-02 07:00:00,"Flash Flood","Flash Flooding",1654167600
"SW2952",2022-07-23 12:00:00,"Flash Flood Emergency","Flash Flooding, Air Quality",1658592000
"SW2955",2022-08-09 09:00:00,"Flash Flood Emergency","Flash Flooding",1660050000
"SW2956",2022-08-21 11:00:00,"Flash Flooding Emergency","Flash Flooding",1661094000
"SW2957",2022-09-04 16:00:00,"Flash Flood Emergency","Flash Flooding",1662321600
"SW2958",2022-09-13 04:00:00,"Flash Flood Emergency","Flash Flooding",1663056000
"SW2959",2022-09-29 17:00:00,"Flash Flood Emergency","Flash Flooding, Air Quality",1664485200
"SW2960",2022-10-12 16:00:00,"Flash Flood Emergency","Flash Flooding",1665604800
"SW2961",2022-11-09 11:00:00,"Flash Flood Emergency","Flash Flooding",1668009600
"SW2962",2022-12-20 15:00:00,"Flash Flood Emergency","Flash Flooding, Coastal Flooding, Air Quality",1671566400
"SW2965",2023-04-28 23:00:00,"Month of Rain in 72 Hours","Flash Flooding",1682737200
"SW2968",2023-03-13 07:00:00,"Flash Flood Emergency","Flash Flooding",1678705200
"SW2969",2023-05-20 12:00:00,"Flash Flood Emergency","Flash Flooding",1684598400
"SW2970",2023-06-22 09:30:00,"Flash Flood Emergency","Flash Flooding",1687440600
"SW2971",2023-07-01 16:30:00,"Flash Flood Emergency","Flash Flooding, Air Quality",1688243400
"SW2972",2023-07-07 17:00:00,"Flash Flood Emergency","Flash Flooding",1688763600
"SW2973",2023-07-13 09:00:00,"Flash Flood Emergency","Flash Flooding, Air Quality",1689253200
"SW2974",2023-07-20 08:00:00,"Flash Flood Emergency","Flash Flooding",1689854400
"SW2976",2023-07-26 16:00:00,"Flash Flood Emergency","Flash Flooding",1690401600
"SW2977",2023-08-06 16:00:00,"Flash Flood Emergency","Flash Flooding",1691352000
"SW2978",2023-08-09 18:00:00,"Flash Flood Emergency","Flash Flooding",1691618400
"SW2979",2023-08-13 16:00:00,"Flash Flood Emergency","Flash Flooding",1691956800
"SW2980",2023-09-28,"Flash Flood and Severe Storm","Flash Flooding",1695873600
"SW2981",2025-07-13,"Subway Flooding","Flash Flooding",1752379200
"SW2982",2025-07-31,"Flash Flood","Flash Flooding",1753934400
"SW2983",2023-09-21 17:00:00,"Flash Flood Emergency","Flash Flooding, Coastal Flooding",1695330000
"SW2984",2023-09-29 06:00:00,"Flash Flood Emergency","Coastal Flooding, Flash Flooding",1695981600
"SW2985",2023-10-05 16:30:00,"Flash Flood Emergency","Flash Flooding, Coastal Flooding",1696537800
"SW2986",2023-11-21 16:30:00,"Flash Flood Emergency","Coastal Flooding, Flash Flooding",1700602200
"SW2987",2023-12-07 16:00:00,"Flash Flood Emergency","Flash Flooding, Coastal Flooding",1701982800
"SW2988",2023-12-18 06:00:00,"Flash Flood Emergency","Coastal Flooding, Flash Flooding, High Winds",1702897200
"SW2989",2024-01-09 06:00:00,"Winter Weather Emergency","Flash Flooding, Coastal Flooding",1704798000
"SW2990",2024-01-15,"Winter Weather Emergency","Extreme Cold, Freezing Precipitation, Heavy Snow",1705294800
"SW2991",2024-01-18,"Winter Weather Emergency","Coastal Flooding",1705554000
"SW2992",2024-03-23,"Flash Flood Event","Coastal Flooding, Flash Flooding, High Winds",1711166400
"SW2993",2023-04-01 16:00:00,"Severe Weather","High Winds",1680379200
"SW2994",2024-02-13 04:00:00,"Winter Weather","High Winds",1707814800
"SW2995",2024-02-17,"Winter Weather","High Winds",1708146000
"SW2996",2024-03-06 13:00:00,"Flash Flooding","Flash Flooding",1709748000
"SW2997",2024-03-09,"Flash Flooding","Flash Flooding",1709960400
"SW2998",2024-04-03,"Flash Flooding","Flash Flooding",1712116800
"SW3001",2023-09-08 12:00:00,"Flash Flood Emergency","Coastal Flooding, Flash Flooding",1694188800
"SW3002",2024-06-14 00:01:00,"Severe Weather","Flash Flooding",1718337660
"SW3004",2024-06-30,"Severe Wether","Flash Flooding",1719720000
"SW3007",2024-08-06 14:00:00,"Flash Flooding","Flash Flooding",1722967200
"SW3008",2024-08-09,"Flash Flooding","Flash Flooding",1723176000
"SW3009",2025-01-19,"Snow","Heavy Snow",1737262800
"SW3014",2025-10-13,"Flash Flooding","Flash Flooding",1760328000
"SW3015",2025-10-30,"Flash Flooding","Flash Flooding",1761796800
"SW3016",2025-11-05 21:00:00,"11/5/2025 High Winds","High Winds",1762394400
"SW3017",2025-12-13,"12/13/25 Winter Weather","Heavy Snow",1765602000
"SW3018",2025-12-19,"12/19/2025 Flash Flooding","Flash Flooding",1766120400
"SW3019",2025-12-23,"12/23/2025 Winter Weather","Heavy Snow",1766466000
"SW3020",2025-12-26,"12/26/2025 Winter Weather","Heavy Snow",1766725200
"SW3021",2026-01-17,"1/17/2026 Winter Weather","Heavy Snow",1768626000
"SW3022",2026-01-25,"1/25/2026 Winter Weather (Winter Storm Fern)","Heavy Snow",1769317200
"SW3024",2026-02-22,"2/22/2026 Winter Weather (Blizzard)","Heavy Snow",1771736400
